Sieve Sizes mm,Wt. of Sieves g,Wt. of Sieves  Sample g,Wt. Retained g,Retained,Cumm.Ret., Passing
5,472.9,479.4,6.5,1.3,1.3,98.7
3.35,467.5,476.2,8.7,1.74,3.04,96.96
2.36,432.9,447.4,14.5,2.9,5.94,94.06
2,416.2,427.6,11.4,2.28,8.22,91.78
1.18,384.6,484.6,100,20,28.22,71.78
0.85,355,401.1,46.1,9.22,37.44,62.56
0.6,468,575.7,107.7,21.54,58.98,41.02
0.425,434.8,492.5,57.7,11.54,70.52,29.48
0.3,381.5,424.4,42.9,8.58,79.1,20.9
0.15,420.6,510.5,89.9,17.98,97.08,2.92
0.075,389.8,398.3,8.5,1.7,98.78,1.22
